================================================================================
REMAINING 6 FIXED NeX AUTO QUEUE
================================================================================
DATE=Sun Jul  5 16:11:45 CEST 2026
HOST=login02
PWD=/home/vivekfei/EXP/NeX
CUDA_VISIBLE_DEVICES=0
WAITING_FOR=results/new_fixed_nex_run/CanClip_FIXED_COLMAP_PATCH3c_PAPERDEFAULT_l16_sl12_h384_mlp4_ray8000_w1008_e300_eval5_ckpt10_valimgint5_cv2
QUEUE_LOG=logs/new_fixed_nex_run_REMAINING6_QUEUE_20260705_161145.log

================================================================================
WAIT UNTIL CANCLIP FINISHES
================================================================================
2026-07-05 16:11:45  WAIT not_finished
2026-07-05 16:11:55  WAIT not_finished
2026-07-05 16:12:05  WAIT not_finished
2026-07-05 16:12:15  WAIT not_finished
2026-07-05 16:12:25  WAIT not_finished
2026-07-05 16:12:35  WAIT not_finished
2026-07-05 16:12:45  WAIT not_finished
2026-07-05 16:12:55  WAIT not_finished
2026-07-05 16:13:05  WAIT not_finished
2026-07-05 16:13:15  WAIT not_finished
2026-07-05 16:13:25  WAIT not_finished
2026-07-05 16:13:35  WAIT not_finished
2026-07-05 16:13:45  WAIT not_finished
2026-07-05 16:13:55  WAIT not_finished
2026-07-05 16:14:05  WAIT not_finished
2026-07-05 16:14:15  WAIT not_finished
2026-07-05 16:14:25  WAIT not_finished
2026-07-05 16:14:35  WAIT not_finished
2026-07-05 16:14:45  WAIT not_finished
2026-07-05 16:14:55  WAIT not_finished
2026-07-05 16:15:06  WAIT not_finished
2026-07-05 16:15:16  WAIT not_finished
2026-07-05 16:15:26  WAIT not_finished
2026-07-05 16:15:36  WAIT not_finished
2026-07-05 16:15:46  WAIT not_finished
2026-07-05 16:15:56  WAIT not_finished
2026-07-05 16:16:06  WAIT not_finished
2026-07-05 16:16:17  WAIT not_finished
2026-07-05 16:16:27  WAIT not_finished
2026-07-05 16:16:37  WAIT not_finished
2026-07-05 16:16:47  WAIT not_finished
2026-07-05 16:16:57  WAIT not_finished
2026-07-05 16:17:07  WAIT not_finished
2026-07-05 16:17:17  WAIT not_finished
2026-07-05 16:17:27  WAIT not_finished
